Ngày,Giá đóng cửa,Giá mở cửa,Giá cao nhất,Giá thấp nhất
30/06/2017,"35,289","35,207","35,289","34,917"
29/06/2017,"35,000","35,372","35,372","34,959"
28/06/2017,"35,083","35,207","35,207","34,917"
27/06/2017,"35,207","35,372","35,372","35,124"
26/06/2017,"35,372","34,752","35,496","34,752"
23/06/2017,"34,752","34,545","34,793","34,545"
22/06/2017,"34,793","35,248","35,289","34,793"
21/06/2017,"35,372","34,959","35,372","34,669"
20/06/2017,"34,959","35,702","35,702","34,959"
19/06/2017,"35,620","35,124","35,620","35,000"
16/06/2017,"35,537","35,413","35,537","35,041"
15/06/2017,"34,959","34,380","34,959","34,380"
14/06/2017,"34,298","35,537","35,620","34,050"
13/06/2017,"35,537","35,165","35,537","34,917"
12/6/2017,"35,000","34,545","35,000","34,380"
9/6/2017,"34,380","34,215","34,545","34,215"
8/6/2017,"34,132","33,967","34,545","33,636"
7/6/2017,"33,884","33,595","33,884","33,595"
6/6/2017,"33,595","33,678","33,678","33,512"
5/6/2017,"33,554","33,471","33,595","33,264"
2/6/2017,"33,554","33,512","33,595","33,388"
1/6/2017,"33,512","33,471","33,595","33,264"
31/05/2017,"33,264","33,306","33,636","33,223"
30/05/2017,"33,264","33,306","33,554","33,264"
29/05/2017,"33,595","33,471","33,678","33,058"
26/05/2017,"33,471","33,140","33,471","33,058"
25/05/2017,"33,099","33,306","33,471","33,017"
24/05/2017,"33,471","33,760","33,843","33,388"
23/05/2017,"33,760","34,050","34,050","33,719"
22/05/2017,"34,050","33,719","34,215","33,719"
19/05/2017,"33,802","34,132","34,132","33,636"
18/05/2017,"34,132","34,132","34,463","33,926"
17/05/2017,"34,132","34,132","34,463","34,008"
16/05/2017,"34,298","33,884","34,298","33,719"
15/05/2017,"33,802","33,471","34,132","33,306"
12/5/2017,"33,471","33,388","33,554","33,306"
11/5/2017,"33,471","33,471","33,760","33,430"
10/5/2017,"33,430","33,512","33,719","33,388"
9/5/2017,"33,678","33,388","33,802","33,306"
8/5/2017,"33,388","33,388","33,512","33,182"
5/5/2017,"33,388","33,306","33,388","33,140"
4/5/2017,"33,306","33,512","33,512","33,140"
3/5/2017,"33,471","33,967","33,967","33,306"
28/04/2017,"33,802","33,471","33,802","33,388"
27/04/2017,"33,802","33,388","33,884","33,388"
26/04/2017,"33,388","33,388","33,471","33,140"
25/04/2017,"33,347","33,058","33,471","33,058"
24/04/2017,"33,058","33,306","33,802","32,769"
21/04/2017,"33,471","33,223","34,091","33,223"
20/04/2017,"33,554","34,298","34,380","33,471"
19/04/2017,"34,298","34,463","34,463","34,256"
18/04/2017,"34,463","34,298","34,711","34,132"
17/04/2017,"34,504","34,504","34,711","33,678"
14/04/2017,"34,504","34,876","35,000","34,463"
13/04/2017,"35,041","34,752","35,331","34,752"
12/4/2017,"34,752","35,165","35,455","34,711"
11/4/2017,"35,165","34,793","35,496","34,793"
10/4/2017,"35,041","34,711","35,124","34,628"
7/4/2017,"34,711","34,380","34,711","34,298"
5/4/2017,"34,380","34,711","34,793","34,380"
4/4/2017,"34,711","34,463","34,711","34,339"
3/4/2017,"34,298","34,628","34,711","34,298"
31/03/2017,"34,545","34,793","35,000","34,545"
30/03/2017,"34,876","34,959","35,000","34,711"
29/03/2017,"34,876","34,959","35,041","34,711"
28/03/2017,"34,711","35,000","35,000","34,711"
27/03/2017,"35,000","34,793","35,041","34,711"
24/03/2017,"35,000","34,959","35,083","34,835"
23/03/2017,"35,124","34,421","35,207","34,421"
22/03/2017,"34,421","34,256","35,041","34,256"
21/03/2017,"34,256","36,198","36,198","33,884"
20/03/2017,"35,785","36,612","36,777","35,785"
17/03/2017,"36,198","36,529","37,025","36,198"
16/03/2017,"36,364","35,702","36,364","35,702"
15/03/2017,"35,950","36,446","36,529","35,785"
14/03/2017,"36,405","36,529","36,777","36,405"
13/03/2017,"36,529","36,859","36,942","36,529"
10/3/2017,"36,529","36,405","36,942","36,364"
9/3/2017,"36,529","36,777","36,777","36,529"
8/3/2017,"36,777","37,066","37,066","36,364"
7/3/2017,"37,066","36,983","37,438","36,859"
6/3/2017,"36,983","37,107","37,521","36,859"
3/3/2017,"36,777","36,736","37,107","36,612"
2/3/2017,"36,446","36,859","37,149","36,364"
1/3/2017,"36,942","36,942","37,479","36,612"
28/02/2017,"37,190","38,182","38,182","37,190"
27/02/2017,"37,975","37,438","38,430","37,438"
24/02/2017,"37,397","37,397","38,017","37,107"
23/02/2017,"37,397","37,769","38,017","37,190"
22/02/2017,"37,769","38,264","38,678","37,603"
21/02/2017,"38,388","37,438","38,843","37,438"
20/02/2017,"37,438","36,198","37,521","35,785"
17/02/2017,"36,364","36,446","36,446","36,033"
16/02/2017,"36,364","36,777","36,942","36,364"
15/02/2017,"36,777","35,207","36,942","35,207"
14/02/2017,"35,165","35,207","35,413","35,083"
13/02/2017,"35,124","35,124","35,207","34,959"
10/2/2017,"35,124","35,207","35,331","34,752"
9/2/2017,"35,248","35,372","35,413","35,165"
8/2/2017,"35,331","35,455","35,455","35,289"
7/2/2017,"35,372","35,041","35,372","34,876"
6/2/2017,"35,041","35,124","35,207","34,711"
3/2/2017,"34,711","35,124","35,124","34,669"
2/2/2017,"35,124","34,959","35,413","34,959"
25/01/2017,"34,711","34,628","34,711","34,298"
24/01/2017,"34,298","34,876","34,876","34,298"
23/01/2017,"34,711","34,876","34,876","34,463"
20/01/2017,"34,711","34,835","34,876","34,587"
19/01/2017,"34,711","34,793","34,959","34,545"
18/01/2017,"34,793","34,959","35,248","34,793"
17/01/2017,"35,248","35,537","35,537","34,959"
16/01/2017,"35,413","35,785","35,785","35,413"
13/01/2017,"35,785","35,579","35,909","35,496"
12/1/2017,"35,537","35,702","35,785","35,413"
11/1/2017,"35,537","35,455","35,909","35,207"
10/1/2017,"35,455","35,702","35,785","35,413"
9/1/2017,"35,702","35,785","35,950","35,702"
6/1/2017,"35,620","35,041","35,950","35,000"
5/1/2017,"34,959","34,628","35,041","34,628"
4/1/2017,"34,752","34,380","34,752","34,380"
3/1/2017,"34,380","34,711","34,711","34,380"
30/12/2016,"34,711","34,380","34,711","34,380"
29/12/2016,"34,628","34,380","34,752","34,380"
28/12/2016,"34,380","35,083","35,083","34,339"
27/12/2016,"34,959","34,793","35,248","34,711"
26/12/2016,"34,711","34,876","34,876","34,628"
23/12/2016,"34,793","34,380","34,793","34,380"
22/12/2016,"34,711","34,380","34,793","34,174"
21/12/2016,"34,215","34,587","34,587","34,132"
20/12/2016,"34,587","35,248","35,537","34,587"
19/12/2016,"35,372","35,207","35,785","35,207"
16/12/2016,"35,124","34,711","35,124","34,174"
15/12/2016,"34,711","34,959","35,041","34,587"
14/12/2016,"35,083","34,711","35,124","34,380"
13/12/2016,"34,711","34,711","34,711","33,967"
12/12/2016,"34,711","34,380","34,711","34,132"
9/12/2016,"34,711","34,711","34,711","34,050"
8/12/2016,"34,711","34,298","34,711","34,298"
7/12/2016,"34,711","34,463","34,793","33,760"
6/12/2016,"34,463","34,628","34,628","33,843"
5/12/2016,"34,669","34,711","34,835","34,215"
2/12/2016,"34,711","34,298","34,876","34,298"
1/12/2016,"34,711","34,793","34,876","34,298"
30/11/2016,"34,711","33,926","34,711","33,388"
29/11/2016,"34,298","35,124","35,124","34,298"
28/11/2016,"35,124","34,545","35,124","33,967"
25/11/2016,"35,124","34,959","35,124","34,298"
24/11/2016,"35,124","35,289","35,289","34,752"
23/11/2016,"35,289","35,207","35,372","35,165"
22/11/2016,"35,207","35,041","35,289","35,041"
21/11/2016,"35,207","35,124","35,207","34,876"
18/11/2016,"35,207","35,537","35,537","34,959"
17/11/2016,"35,289","35,207","35,372","34,752"
16/11/2016,"35,289","35,331","35,785","35,207"
15/11/2016,"35,331","35,537","35,950","35,165"
14/11/2016,"35,455","36,116","37,025","35,455"
11/11/2016,"36,364","35,372","36,364","35,000"
10/11/2016,"35,372","35,372","35,537","35,207"
9/11/2016,"35,124","35,455","35,455","34,711"
8/11/2016,"35,372","35,289","35,455","35,207"
7/11/2016,"35,331","35,041","35,413","34,959"
4/11/2016,"35,041","34,711","35,289","34,711"
3/11/2016,"35,041","34,793","35,372","34,587"
2/11/2016,"34,959","35,372","35,702","34,959"
1/11/2016,"35,331","35,124","35,413","35,124"
31/10/2016,"35,124","35,124","35,744","34,959"
28/10/2016,"35,413","35,372","35,702","35,207"
27/10/2016,"35,372","35,041","35,455","34,711"
26/10/2016,"35,083","35,041","35,372","34,711"
25/10/2016,"35,289","35,041","35,413","34,959"
24/10/2016,"35,537","35,537","35,537","35,124"
21/10/2016,"35,537","35,785","35,785","35,289"
20/10/2016,"35,785","36,033","36,033","35,537"
19/10/2016,"36,198","35,413","36,198","35,289"
18/10/2016,"35,455","35,537","35,537","35,124"
17/10/2016,"35,537","35,537","35,620","35,289"
14/10/2016,"35,537","35,413","35,868","35,041"
13/10/2016,"35,537","35,124","35,620","34,628"
12/10/2016,"34,876","34,793","35,372","34,793"
11/10/2016,"34,793","34,876","35,124","34,463"
10/10/2016,"34,793","35,702","35,702","34,711"
7/10/2016,"35,372","35,537","35,868","35,041"
6/10/2016,"35,289","36,198","36,198","35,207"
5/10/2016,"36,198","36,612","36,777","36,116"
4/10/2016,"36,364","35,537","36,364","35,372"
3/10/2016,"35,537","36,777","36,777","35,537"
30/09/2016,"36,777","36,777","37,025","35,124"
29/09/2016,"37,149","36,901","37,149","36,859"
28/09/2016,"36,901","37,603","37,603","36,364"
27/09/2016,"37,975","37,107","37,975","36,942"
26/09/2016,"36,942","36,653","37,190","36,116"
23/09/2016,"36,653","36,446","36,653","36,364"
22/09/2016,"36,364","36,116","36,694","36,116"
21/09/2016,"36,116","35,537","36,281","35,207"
20/09/2016,"35,207","34,463","35,537","34,256"
19/09/2016,"34,959","35,537","35,537","34,711"
16/09/2016,"35,537","33,636","35,537","33,636"
15/09/2016,"34,050","33,471","34,215","33,058"
14/09/2016,"32,586","33,395","33,395","32,586"
13/09/2016,"33,125","33,395","33,665","33,058"
12/9/2016,"33,598","33,733","33,733","32,990"
9/9/2016,"32,923","32,721","32,990","32,518"
8/9/2016,"32,248","32,383","32,383","32,113"
7/9/2016,"32,046","32,451","32,451","31,978"
6/9/2016,"32,316","32,586","32,653","32,316"
5/9/2016,"32,316","32,451","32,451","32,113"
1/9/2016,"32,383","32,518","32,586","32,113"
31/08/2016,"32,451","32,383","32,721","32,316"
30/08/2016,"32,451","32,383","32,653","32,046"
29/08/2016,"32,383","32,383","32,855","32,383"
26/08/2016,"32,383","32,383","32,586","32,316"
25/08/2016,"32,586","32,721","32,721","32,248"
24/08/2016,"32,721","32,721","32,923","32,586"
23/08/2016,"32,721","31,506","32,721","31,304"
22/08/2016,"31,641","32,383","32,383","31,506"
19/08/2016,"32,181","32,383","32,653","31,843"
18/08/2016,"32,316","32,990","32,990","32,181"
17/08/2016,"32,316","32,316","32,855","31,709"
16/08/2016,"32,316","33,058","33,058","32,046"
15/08/2016,"33,058","33,058","33,058","32,721"
12/8/2016,"33,058","33,395","33,395","32,788"
11/8/2016,"33,058","32,788","33,193","32,518"
10/8/2016,"32,788","30,832","32,788","30,832"
9/8/2016,"30,697","30,022","30,899","30,022"
8/8/2016,"30,157","30,157","30,697","28,065"
5/8/2016,"30,157","31,371","31,911","30,022"
4/8/2016,"32,046","33,395","33,463","32,046"
3/8/2016,"33,260","33,733","34,070","33,058"
2/8/2016,"34,407","34,070","35,082","34,070"
1/8/2016,"34,744","34,744","35,082","34,070"
29/07/2016,"34,407","35,419","35,419","34,407"
28/07/2016,"35,419","34,744","35,756","34,407"
27/07/2016,"34,407","34,070","34,407","33,733"
26/07/2016,"34,070","34,070","34,407","33,598"
25/07/2016,"34,070","34,070","34,407","33,733"
22/07/2016,"33,733","34,070","34,407","33,463"
21/07/2016,"34,070","34,070","34,744","33,665"
20/07/2016,"33,733","35,082","35,419","33,733"
19/07/2016,"35,082","36,431","36,768","34,070"
18/07/2016,"36,431","36,768","36,768","36,094"
15/07/2016,"36,768","36,431","36,768","35,756"
14/07/2016,"36,094","37,106","37,443","36,094"
13/07/2016,"37,106","35,419","37,106","35,419"
12/7/2016,"35,082","34,407","35,082","34,407"
11/7/2016,"34,407","34,744","35,082","34,070"
8/7/2016,"34,744","35,082","35,082","34,407"
7/7/2016,"34,744","34,744","35,082","34,070"
6/7/2016,"34,407","34,407","34,744","34,070"
5/7/2016,"34,407","34,744","35,419","34,407"
4/7/2016,"34,407","34,744","35,082","34,407"
1/7/2016,"34,407","34,070","34,744","33,665"
30/06/2016,"33,328","32,721","34,407","32,518"
29/06/2016,"32,383","32,181","32,721","32,181"
28/06/2016,"32,181","32,653","32,653","32,181"
27/06/2016,"32,653","32,383","32,990","32,316"
24/06/2016,"31,605","32,213","32,213","30,025"
23/06/2016,"32,213","32,213","32,517","31,909"
22/06/2016,"31,909","32,821","32,821","31,909"
21/06/2016,"32,821","32,821","33,125","32,517"
20/06/2016,"32,517","31,909","32,821","31,605"
17/06/2016,"31,605","32,213","32,517","31,605"
16/06/2016,"32,517","32,517","32,821","32,213"
15/06/2016,"32,517","32,821","33,125","32,213"
14/06/2016,"32,517","31,909","32,517","31,909"
13/06/2016,"31,909","32,517","32,517","31,909"
10/6/2016,"32,821","33,125","33,429","32,821"
9/6/2016,"33,125","33,125","33,429","32,821"
8/6/2016,"33,125","33,125","34,036","32,821"
7/6/2016,"33,125","32,517","33,125","32,517"
6/6/2016,"32,517","32,821","33,125","32,213"
3/6/2016,"32,821","32,517","32,821","32,213"
2/6/2016,"32,517","32,517","32,821","32,213"
1/6/2016,"32,517","32,213","32,517","31,909"
31/05/2016,"38,610","39,345","39,713","38,610"
30/05/2016,"39,345","38,242","39,713","38,242"
27/05/2016,"37,875","37,507","38,242","37,507"
26/05/2016,"37,507","38,242","38,242","37,139"
25/05/2016,"38,242","38,242","38,610","37,875"
24/05/2016,"38,242","38,978","38,978","37,875"
23/05/2016,"38,242","38,242","38,242","37,139"
20/05/2016,"37,875","39,345","39,713","37,875"
19/05/2016,"39,345","40,081","40,081","38,978"
18/05/2016,"39,345","40,081","40,081","39,345"
17/05/2016,"40,081","40,816","40,816","40,081"
16/05/2016,"40,449","39,345","40,816","38,978"
13/05/2016,"39,345","39,345","39,713","38,978"
12/5/2016,"39,345","39,713","40,081","39,345"
11/5/2016,"39,345","38,242","39,345","38,242"
10/5/2016,"38,242","38,242","38,242","37,507"
9/5/2016,"38,242","38,978","38,978","38,242"
6/5/2016,"38,610","38,242","38,610","38,242"
5/5/2016,"37,875","37,875","38,978","37,875"
4/5/2016,"37,507","37,875","38,610","37,507"
29/04/2016,"38,610","38,610","38,978","38,242"
28/04/2016,"38,242","38,978","39,345","38,242"
27/04/2016,"38,978","40,449","40,449","38,242"
26/04/2016,"39,713","38,610","40,081","38,610"
25/04/2016,"38,610","40,816","41,184","38,610"
22/04/2016,"40,081","37,875","40,449","37,875"
21/04/2016,"37,875","37,875","38,610","37,139"
20/04/2016,"37,139","36,551","37,507","36,551"
19/04/2016,"36,551","38,242","38,242","36,551"
15/04/2016,"38,242","38,610","40,081","38,242"
14/04/2016,"38,610","37,875","40,081","37,875"
13/04/2016,"38,242","37,875","38,978","37,139"
12/4/2016,"38,242","38,242","38,610","37,507"
11/4/2016,"37,139","34,933","37,139","34,933"
8/4/2016,"34,933","34,712","35,006","34,492"
7/4/2016,"34,712","35,006","35,080","34,639"
